State(1000, [3.0, -2.0, 8.0], Array{Float64}[[0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
780,C,C1,i1,5.5
781,C,C1,i3,5.5
782,C,C1,i1,5.5
783,C,C3,i3,3.0
784,C,C1,i1,5.5
785,C,C2,i2,3.0
786,C,C2,i3,3.0
787,C,C1,i3,5.5
788,C,C1,i3,5.5
789,C,C1,i1,5.5
790,C,C2,i3,3.0
791,C,C2,i3,3.0
792,C,C1,i3,5.5
793,C,C2,i3,3.0
794,C,C3,i3,3.0
795,C,C2,i2,3.0
796,C,C3,i2,3.0
797,C,C1,i1,5.5
798,C,C2,i3,3.0
799,C,C1,i1,5.5
800,C,C1,i3,5.5
801,C,C1,i1,5.5
802,C,C3,i3,3.0
803,C,C1,i1,5.5
804,C,C2,i2,3.0
805,C,C2,i3,3.0
806,C,C1,i3,5.5
807,C,C1,i3,5.5
808,C,C1,i1,5.5
809,C,C2,i3,3.0
810,C,C2,i3,3.0
811,C,C1,i3,5.5
812,C,C2,i3,3.0
813,C,C3,i3,3.0
814,C,C2,i2,3.0
815,C,C3,i2,3.0
816,C,C1,i1,5.5
817,C,C2,i3,3.0
818,C,C1,i1,5.5
819,C,C1,i3,5.5
820,C,C1,i1,5.5
821,C,C3,i3,3.0
822,C,C1,i1,5.5
823,C,C2,i2,3.0
824,C,C2,i3,3.0
825,C,C1,i3,5.5
826,C,C1,i3,5.5
827,C,C1,i1,5.5
828,C,C2,i3,3.0
829,C,C2,i3,3.0
830,C,C1,i3,5.5
831,C,C2,i3,3.0
832,C,C3,i3,3.0
833,C,C2,i2,3.0
834,C,C3,i2,3.0
835,C,C1,i1,5.5
836,C,C2,i3,3.0
837,C,C1,i1,5.5
838,C,C1,i3,5.5
839,C,C1,i1,5.5
840,C,C3,i3,3.0
841,C,C1,i1,5.5
842,C,C2,i2,3.0
843,C,C2,i3,3.0
844,C,C1,i3,5.5
845,C,C1,i3,5.5
846,C,C1,i1,5.5
847,C,C2,i3,3.0
848,C,C2,i3,3.0
849,C,C1,i3,5.5
850,C,C2,i3,3.0
851,C,C3,i3,3.0
852,C,C2,i2,3.0
853,C,C3,i2,3.0
854,C,C1,i1,5.5
855,C,C2,i3,3.0
856,C,C1,i1,5.5
857,C,C1,i3,5.5
858,C,C1,i1,5.5
859,C,C3,i3,3.0
860,C,C1,i1,5.5
861,C,C2,i2,3.0
862,C,C2,i3,3.0
863,C,C1,i3,5.5
864,C,C1,i3,5.5
865,C,C1,i1,5.5
866,C,C2,i3,3.0
867,C,C2,i3,3.0
868,C,C1,i3,5.5
869,C,C2,i3,3.0
870,C,C3,i3,3.0
871,C,C2,i2,3.0
872,C,C3,i2,3.0
873,C,C1,i1,5.5
874,C,C2,i3,3.0
875,C,C1,i1,5.5
876,C,C1,i3,5.5
877,C,C1,i1,5.5
878,C,C3,i3,3.0
879,C,C1,i1,5.5
880,C,C2,i2,3.0
881,C,C2,i3,3.0
882,C,C1,i3,5.5
883,C,C1,i3,5.5
884,C,C1,i1,5.5
885,C,C2,i3,3.0
886,C,C2,i3,3.0
887,C,C1,i3,5.5
888,C,C2,i3,3.0
889,C,C3,i3,3.0
890,C,C2,i2,3.0
891,C,C3,i2,3.0
892,C,C1,i1,5.5
893,C,C2,i3,3.0
894,C,C1,i1,5.5
895,C,C1,i3,5.5
896,C,C1,i1,5.5
897,C,C3,i3,3.0
898,C,C1,i1,5.5
899,C,C2,i2,3.0
900,C,C2,i3,3.0
901,C,C1,i3,5.5
902,C,C1,i3,5.5
903,C,C1,i1,5.5
904,C,C2,i3,3.0
905,C,C2,i3,3.0
906,C,C1,i3,5.5
907,C,C2,i3,3.0
908,C,C3,i3,3.0
909,C,C2,i2,3.0
910,C,C3,i2,3.0
911,C,C1,i1,5.5
912,C,C2,i3,3.0
913,C,C1,i1,5.5
914,C,C1,i3,5.5
915,C,C1,i1,5.5
916,C,C3,i3,3.0
917,C,C1,i1,5.5
918,C,C2,i2,3.0
919,C,C2,i3,3.0
920,C,C1,i3,5.5
921,C,C1,i3,5.5
922,C,C1,i1,5.5
923,C,C2,i3,3.0
924,C,C2,i3,3.0
925,C,C1,i3,5.5
926,C,C2,i3,3.0
927,C,C3,i3,3.0
928,C,C2,i2,3.0
929,C,C3,i2,3.0
930,C,C1,i1,5.5
931,C,C2,i3,3.0
932,C,C1,i1,5.5
933,C,C1,i3,5.5
934,C,C1,i1,5.5
935,C,C3,i3,3.0
936,C,C1,i1,5.5
937,C,C2,i2,3.0
938,C,C2,i3,3.0
939,C,C1,i3,5.5
940,C,C1,i3,5.5
941,C,C1,i1,5.5
942,C,C2,i3,3.0
943,C,C2,i3,3.0
944,C,C1,i3,5.5
945,C,C2,i3,3.0
946,C,C3,i3,3.0
947,C,C2,i2,3.0
948,C,C3,i2,3.0
949,C,C1,i1,5.5
950,C,C2,i3,3.0
951,C,C1,i1,5.5
952,C,C1,i3,5.5
953,C,C1,i1,5.5
954,C,C3,i3,3.0
955,C,C1,i1,5.5
956,C,C2,i2,3.0
957,C,C2,i3,3.0
958,C,C1,i3,5.5
959,C,C1,i3,5.5
960,C,C1,i1,5.5
961,C,C2,i3,3.0
962,C,C2,i3,3.0
963,C,C1,i3,5.5
964,C,C2,i3,3.0
965,C,C3,i3,3.0
966,C,C2,i2,3.0
967,C,C3,i2,3.0
968,C,C1,i1,5.5
969,C,C2,i3,3.0
970,C,C1,i1,5.5
971,C,C1,i3,5.5
972,C,C1,i1,5.5
973,C,C3,i3,3.0
974,C,C1,i1,5.5
