State(1000, [3.0, -2.0, 3.0], Array{Float64}[[0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
772,C,C1,i1,3.0
773,C,C1,i1,3.0
774,C,C1,i3,3.0
775,C,C1,i3,3.0
776,C,C3,i2,0.5
777,C,C3,i2,0.5
778,C,C1,i1,3.0
779,C,C3,i3,0.5
780,C,C3,i3,0.5
781,C,C1,i1,3.0
782,C,C1,i3,3.0
783,C,C3,i3,0.5
784,C,C3,i3,0.5
785,C,C1,i1,3.0
786,C,C1,i3,3.0
787,C,C3,i2,0.5
788,C,C3,i2,0.5
789,C,C1,i3,3.0
790,C,C1,i1,3.0
791,C,C3,i3,0.5
792,C,C1,i1,3.0
793,C,C3,i2,0.5
794,C,C3,i3,0.5
795,C,C1,i3,3.0
796,C,C1,i1,3.0
797,C,C1,i3,3.0
798,C,C1,i1,3.0
799,C,C3,i2,0.5
800,C,C1,i1,3.0
801,C,C3,i3,0.5
802,C,C1,i1,3.0
803,C,C1,i1,3.0
804,C,C1,i1,3.0
805,C,C1,i1,3.0
806,C,C1,i1,3.0
807,C,C1,i1,3.0
808,C,C3,i2,0.5
809,C,C3,i3,0.5
810,C,C3,i2,0.5
811,C,C3,i3,0.5
812,C,C3,i2,0.5
813,C,C3,i3,0.5
814,C,C3,i2,0.5
815,C,C1,i3,3.0
816,C,C1,i3,3.0
817,C,C1,i1,3.0
818,C,C3,i2,0.5
819,C,C1,i3,3.0
820,C,C1,i3,3.0
821,C,C3,i3,0.5
822,C,C3,i2,0.5
823,C,C3,i2,0.5
824,C,C3,i2,0.5
825,C,C3,i2,0.5
826,C,C3,i3,0.5
827,C,C1,i1,3.0
828,C,C1,i3,3.0
829,C,C1,i1,3.0
830,C,C3,i3,0.5
831,C,C3,i2,0.5
832,C,C1,i3,3.0
833,C,C3,i3,0.5
834,C,C1,i1,3.0
835,C,C1,i1,3.0
836,C,C3,i2,0.5
837,C,C1,i3,3.0
838,C,C3,i2,0.5
839,C,C1,i1,3.0
840,C,C3,i3,0.5
841,C,C1,i3,3.0
842,C,C3,i3,0.5
843,C,C1,i1,3.0
844,C,C3,i3,0.5
845,C,C1,i1,3.0
846,C,C1,i1,3.0
847,C,C1,i3,3.0
848,C,C3,i2,0.5
849,C,C3,i2,0.5
850,C,C1,i3,3.0
851,C,C3,i3,0.5
852,C,C3,i2,0.5
853,C,C1,i1,3.0
854,C,C1,i1,3.0
855,C,C1,i3,3.0
856,C,C1,i1,3.0
857,C,C1,i1,3.0
858,C,C3,i2,0.5
859,C,C3,i3,0.5
860,C,C3,i3,0.5
861,C,C1,i3,3.0
862,C,C3,i2,0.5
863,C,C1,i1,3.0
864,C,C1,i1,3.0
865,C,C1,i3,3.0
866,C,C1,i1,3.0
867,C,C2,i1,0.5
868,C,C1,i3,3.0
869,C,C1,i1,3.0
870,C,C1,i3,3.0
871,C,C1,i1,3.0
872,C,C3,i2,0.5
873,C,C1,i3,3.0
874,C,C3,i3,0.5
875,C,C3,i3,0.5
876,C,C1,i1,3.0
877,C,C3,i3,0.5
878,C,C3,i3,0.5
879,C,C3,i3,0.5
880,C,C3,i3,0.5
881,C,C1,i1,3.0
882,C,C1,i3,3.0
883,C,C3,i2,0.5
884,C,C1,i3,3.0
885,C,C1,i3,3.0
886,C,C1,i1,3.0
887,C,C3,i3,0.5
888,C,C3,i3,0.5
889,C,C1,i1,3.0
890,C,C3,i2,0.5
891,C,C1,i3,3.0
892,C,C1,i1,3.0
893,C,C3,i3,0.5
894,C,C1,i1,3.0
895,C,C3,i3,0.5
896,C,C1,i1,3.0
897,C,C3,i2,0.5
898,C,C1,i3,3.0
899,C,C3,i3,0.5
900,C,C1,i1,3.0
901,C,C1,i3,3.0
902,C,C3,i2,0.5
903,C,C3,i3,0.5
904,C,C1,i3,3.0
905,C,C1,i1,3.0
906,C,C3,i3,0.5
907,C,C3,i3,0.5
908,C,C1,i1,3.0
909,C,C1,i1,3.0
910,C,C3,i3,0.5
911,C,C3,i3,0.5
912,C,C1,i3,3.0
913,C,C3,i3,0.5
914,C,C1,i3,3.0
915,C,C1,i1,3.0
916,C,C3,i3,0.5
917,C,C3,i3,0.5
918,C,C3,i3,0.5
919,C,C1,i3,3.0
920,C,C1,i3,3.0
921,C,C1,i1,3.0
922,C,C1,i1,3.0
923,C,C3,i2,0.5
924,C,C2,i1,0.5
925,C,C1,i1,3.0
926,C,C1,i3,3.0
927,C,C1,i1,3.0
928,C,C3,i2,0.5
929,C,C3,i2,0.5
930,C,C1,i1,3.0
