State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
706,C,C1,i2,5.5
707,C,C1,i1,5.5
708,C,C1,i1,5.5
709,C,C3,i2,0.5
710,C,C2,i3,3.0
711,C,C1,i1,5.5
712,C,C2,i1,3.0
713,C,C2,i3,3.0
714,C,C1,i2,5.5
715,C,C2,i3,3.0
716,C,C1,i2,5.5
717,C,C1,i2,5.5
718,C,C1,i1,5.5
719,C,C1,i1,5.5
720,C,C3,i2,0.5
721,C,C2,i3,3.0
722,C,C1,i1,5.5
723,C,C2,i1,3.0
724,C,C2,i3,3.0
725,C,C1,i2,5.5
726,C,C2,i3,3.0
727,C,C1,i2,5.5
728,C,C1,i2,5.5
729,C,C1,i1,5.5
730,C,C1,i1,5.5
731,C,C3,i2,0.5
732,C,C2,i3,3.0
733,C,C1,i1,5.5
734,C,C2,i1,3.0
735,C,C2,i3,3.0
736,C,C1,i2,5.5
737,C,C2,i3,3.0
738,C,C1,i2,5.5
739,C,C1,i2,5.5
740,C,C1,i1,5.5
741,C,C1,i1,5.5
742,C,C3,i2,0.5
743,C,C2,i3,3.0
744,C,C1,i1,5.5
745,C,C2,i1,3.0
746,C,C2,i3,3.0
747,C,C1,i2,5.5
748,C,C2,i3,3.0
749,C,C1,i2,5.5
750,C,C1,i2,5.5
751,C,C1,i1,5.5
752,C,C1,i1,5.5
753,C,C3,i2,0.5
754,C,C2,i3,3.0
755,C,C1,i1,5.5
756,C,C2,i1,3.0
757,C,C2,i3,3.0
758,C,C1,i2,5.5
759,C,C2,i3,3.0
760,C,C1,i2,5.5
761,C,C1,i2,5.5
762,C,C1,i1,5.5
763,C,C1,i1,5.5
764,C,C3,i2,0.5
765,C,C2,i3,3.0
766,C,C1,i1,5.5
767,C,C2,i1,3.0
768,C,C2,i3,3.0
769,C,C1,i2,5.5
770,C,C2,i3,3.0
771,C,C1,i2,5.5
772,C,C1,i2,5.5
773,C,C1,i1,5.5
774,C,C1,i1,5.5
775,C,C3,i2,0.5
776,C,C2,i3,3.0
777,C,C1,i1,5.5
778,C,C2,i1,3.0
779,C,C2,i3,3.0
780,C,C1,i2,5.5
781,C,C2,i3,3.0
782,C,C1,i2,5.5
783,C,C1,i2,5.5
