State(1000, [3.0, 8.0, 8.0], Array{Float64}[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.0]], [0.0, 0.01, 50.0])
682,C,C3,i2,5.5
683,C,C3,i1,5.5
684,C,C1,i3,8.0
685,C,C1,i3,8.0
686,C,C1,i3,8.0
687,C,C3,i2,5.5
688,C,C3,i1,5.5
689,C,C1,i3,8.0
690,C,C1,i3,8.0
691,C,C1,i3,8.0
692,C,C3,i2,5.5
693,C,C3,i1,5.5
694,C,C1,i3,8.0
695,C,C1,i3,8.0
696,C,C1,i3,8.0
697,C,C3,i2,5.5
698,C,C3,i1,5.5
699,C,C1,i3,8.0
700,C,C1,i3,8.0
701,C,C1,i3,8.0
702,C,C3,i2,5.5
703,C,C3,i1,5.5
704,C,C1,i3,8.0
705,C,C1,i3,8.0
706,C,C1,i3,8.0
707,C,C3,i2,5.5
708,C,C3,i1,5.5
709,C,C1,i3,8.0
710,C,C1,i3,8.0
711,C,C1,i3,8.0
712,C,C3,i2,5.5
713,C,C3,i1,5.5
714,C,C1,i3,8.0
715,C,C1,i3,8.0
716,C,C1,i3,8.0
717,C,C3,i2,5.5
718,C,C3,i1,5.5
719,C,C1,i3,8.0
720,C,C1,i3,8.0
721,C,C1,i3,8.0
722,C,C3,i2,5.5
723,C,C3,i1,5.5
724,C,C1,i3,8.0
725,C,C1,i3,8.0
726,C,C1,i3,8.0
727,C,C3,i2,5.5
728,C,C3,i1,5.5
729,C,C1,i3,8.0
730,C,C1,i3,8.0
731,C,C1,i3,8.0
732,C,C3,i2,5.5
733,C,C3,i1,5.5
734,C,C1,i3,8.0
735,C,C1,i3,8.0
736,C,C1,i3,8.0
737,C,C3,i2,5.5
738,C,C3,i1,5.5
739,C,C1,i3,8.0
740,C,C1,i3,8.0
741,C,C1,i3,8.0
742,C,C3,i2,5.5
743,C,C3,i1,5.5
744,C,C1,i3,8.0
745,C,C1,i3,8.0
746,C,C1,i3,8.0
747,C,C3,i2,5.5
748,C,C3,i1,5.5
749,C,C1,i3,8.0
750,C,C1,i3,8.0
751,C,C1,i3,8.0
752,C,C3,i2,5.5
753,C,C3,i1,5.5
754,C,C1,i3,8.0
755,C,C1,i3,8.0
756,C,C1,i3,8.0
757,C,C3,i2,5.5
758,C,C3,i1,5.5
759,C,C1,i3,8.0
760,C,C1,i3,8.0
761,C,C1,i3,8.0
762,C,C3,i2,5.5
763,C,C3,i1,5.5
764,C,C1,i3,8.0
765,C,C1,i3,8.0
766,C,C1,i3,8.0
767,C,C3,i2,5.5
768,C,C3,i1,5.5
769,C,C1,i3,8.0
770,C,C1,i3,8.0
771,C,C1,i3,8.0
772,C,C3,i2,5.5
773,C,C3,i1,5.5
774,C,C1,i3,8.0
775,C,C1,i3,8.0
776,C,C1,i3,8.0
777,C,C3,i2,5.5
778,C,C3,i1,5.5
779,C,C1,i3,8.0
780,C,C1,i3,8.0
781,C,C1,i3,8.0
782,C,C3,i2,5.5
783,C,C3,i1,5.5
784,C,C1,i3,8.0
785,C,C1,i3,8.0
786,C,C1,i3,8.0
787,C,C3,i2,5.5
788,C,C3,i1,5.5
789,C,C1,i3,8.0
790,C,C1,i3,8.0
791,C,C1,i3,8.0
792,C,C3,i2,5.5
793,C,C3,i1,5.5
794,C,C1,i3,8.0
795,C,C1,i3,8.0
796,C,C1,i3,8.0
797,C,C3,i2,5.5
798,C,C3,i1,5.5
799,C,C1,i3,8.0
800,C,C1,i3,8.0
801,C,C1,i3,8.0
802,C,C3,i2,5.5
803,C,C3,i1,5.5
804,C,C1,i3,8.0
805,C,C1,i3,8.0
806,C,C1,i3,8.0
807,C,C3,i2,5.5
808,C,C3,i1,5.5
809,C,C1,i3,8.0
810,C,C1,i3,8.0
811,C,C1,i3,8.0
812,C,C3,i2,5.5
813,C,C3,i1,5.5
814,C,C1,i3,8.0
815,C,C1,i3,8.0
816,C,C1,i3,8.0
817,C,C3,i2,5.5
818,C,C3,i1,5.5
819,C,C1,i3,8.0
820,C,C1,i3,8.0
821,C,C1,i3,8.0
822,C,C3,i2,5.5
823,C,C3,i1,5.5
824,C,C1,i3,8.0
825,C,C1,i3,8.0
826,C,C1,i3,8.0
827,C,C3,i2,5.5
828,C,C3,i1,5.5
829,C,C1,i3,8.0
830,C,C1,i3,8.0
831,C,C1,i3,8.0
832,C,C3,i2,5.5
833,C,C3,i1,5.5
834,C,C1,i3,8.0
835,C,C1,i3,8.0
836,C,C1,i3,8.0
837,C,C3,i2,5.5
838,C,C3,i1,5.5
839,C,C1,i3,8.0
840,C,C1,i3,8.0
841,C,C1,i3,8.0
842,C,C3,i2,5.5
843,C,C3,i1,5.5
844,C,C1,i3,8.0
845,C,C1,i3,8.0
846,C,C1,i3,8.0
847,C,C3,i2,5.5
848,C,C3,i1,5.5
849,C,C1,i3,8.0
850,C,C1,i3,8.0
851,C,C1,i3,8.0
852,C,C3,i2,5.5
853,C,C3,i1,5.5
854,C,C1,i3,8.0
855,C,C1,i3,8.0
856,C,C1,i3,8.0
857,C,C3,i2,5.5
858,C,C3,i1,5.5
859,C,C1,i3,8.0
860,C,C1,i3,8.0
861,C,C1,i3,8.0
862,C,C3,i2,5.5
863,C,C3,i1,5.5
864,C,C1,i3,8.0
865,C,C1,i3,8.0
866,C,C1,i3,8.0
867,C,C3,i2,5.5
868,C,C3,i1,5.5
869,C,C1,i3,8.0
870,C,C1,i3,8.0
871,C,C1,i3,8.0
872,C,C3,i2,5.5
873,C,C3,i1,5.5
874,C,C1,i3,8.0
875,C,C1,i3,8.0
876,C,C1,i3,8.0
877,C,C3,i2,5.5
878,C,C3,i1,5.5
879,C,C1,i3,8.0
880,C,C1,i3,8.0
881,C,C1,i3,8.0
882,C,C3,i2,5.5
883,C,C3,i1,5.5
884,C,C1,i3,8.0
885,C,C1,i3,8.0
886,C,C1,i3,8.0
887,C,C3,i2,5.5
888,C,C3,i1,5.5
889,C,C1,i3,8.0
890,C,C1,i3,8.0
891,C,C1,i3,8.0
892,C,C3,i2,5.5
893,C,C3,i1,5.5
894,C,C1,i3,8.0
895,C,C1,i3,8.0
896,C,C1,i3,8.0
897,C,C3,i2,5.5
898,C,C3,i1,5.5
899,C,C1,i3,8.0
900,C,C1,i3,8.0
901,C,C1,i3,8.0
902,C,C3,i2,5.5
903,C,C3,i1,5.5
904,C,C1,i3,8.0
905,C,C1,i3,8.0
906,C,C1,i3,8.0
907,C,C3,i2,5.5
908,C,C3,i1,5.5
909,C,C1,i3,8.0
910,C,C1,i3,8.0
911,C,C1,i3,8.0
912,C,C3,i2,5.5
913,C,C3,i1,5.5
914,C,C1,i3,8.0
915,C,C1,i3,8.0
916,C,C1,i3,8.0
917,C,C3,i2,5.5
918,C,C3,i1,5.5
919,C,C1,i3,8.0
920,C,C1,i3,8.0
921,C,C1,i3,8.0
922,C,C3,i2,5.5
923,C,C3,i1,5.5
924,C,C1,i3,8.0
925,C,C1,i3,8.0
926,C,C1,i3,8.0
927,C,C3,i2,5.5
928,C,C3,i1,5.5
929,C,C1,i3,8.0
930,C,C1,i3,8.0
